depth,accuracy,mean_latency_seconds,mean_generated_tokens,examples
4,0.0,5.657205438241363,256,2
8,0.5,4.335059404373169,160.5,2
16,0.5,9.600226324051619,193,2
32,1.0,14.742793045938015,154.5,2
64,1.0,29.013562191277742,154.5,2
