depth,accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_latency_seconds,mean_time_to_first_token_seconds,mean_single_forward_latency_seconds,mean_tokens_per_second,mean_seconds_per_generated_token,mean_generated_tokens,cap_hits,natural_ends,examples
4,0.0,0.0,0.16113012549493322,2.927316828817129,0.07201926894485951,0.0546023104339838,63.34181305982365,0.01580973243864449,185.65,8,12,20
8,0.1,0.027865893984153206,0.30103820641179335,4.99311399050057,0.09772448483854532,0.09580877739936114,37.037249121742256,0.02700391482550746,184.55,4,16,20
16,0.3,0.14547527396899385,0.5189767762289793,9.293651187978686,0.1841914115473628,0.17778637185692786,19.988964020261776,0.05003346095301536,185.45,4,16,20
32,0.3,0.14547527396899385,0.5189767762289793,19.770191856473684,0.35614662393927576,0.3435218445956707,10.404827496771382,0.09611944317004795,205.3,9,11,20
64,0.3,0.14547527396899385,0.5189767762289793,38.750469527207315,0.6888254288583994,0.6742778956890106,5.307299581687758,0.18843954847374358,205.2,10,10,20
