depth,adjacent_cosine_mean,adjacent_cosine_std,normalized_step_mean,cosine_to_final_mean,update_direction_cosine_mean
0,0.16473613679409027,0.012862557545304298,1.8133827447891235,0.315280556678772,-0.3461996912956238
1,0.5786441564559937,0.025884296745061874,0.9174973964691162,0.41150927543640137,-0.19853723049163818
2,0.6863449811935425,0.02343674749135971,0.791430652141571,0.5211986303329468,-0.009392548352479935
3,0.7685931324958801,0.023355884477496147,0.6794635057449341,0.6030082106590271,-0.004065943881869316
4,0.8380690217018127,0.02317516878247261,0.5677474737167358,0.6898007988929749,0.09915879368782043
5,0.9021900296211243,0.012710331939160824,0.4413973093032837,0.7608367800712585,0.22109779715538025
6,0.9366066455841064,0.007482734974473715,0.35547393560409546,0.8178837299346924,0.314911425113678
7,0.9579795002937317,0.005711697973310947,0.28925710916519165,0.8576510548591614,0.37987059354782104
8,0.968895673751831,0.005352639127522707,0.24858936667442322,0.8868091702461243,0.45023152232170105
9,0.9771879315376282,0.003581165336072445,0.2130085825920105,0.9098445177078247,0.5002440810203552
10,0.9831099510192871,0.00298291421495378,0.18314799666404724,0.9302992224693298,0.5567731261253357
11,0.9873506426811218,0.0023597427643835545,0.15840362012386322,0.9485057592391968,0.5978714227676392
12,0.9910093545913696,0.001698185340501368,0.1334991306066513,0.9632416367530823,0.637973964214325
13,0.9937121868133545,0.0012358336243778467,0.11157394200563431,0.9743128418922424,0.6645703315734863
14,0.9954169988632202,0.0010582141112536192,0.09507779031991959,0.9824059009552002,0.6935215592384338
15,0.9966665506362915,0.0009469352662563324,0.0808335468173027,0.9880095720291138,0.7002151608467102
16,0.997692346572876,0.0007354859844781458,0.06710276007652283,0.9916906952857971,0.704529881477356
17,0.9984686374664307,0.0005268828826956451,0.0545792430639267,0.9940854907035828,0.7039333581924438
18,0.9989717602729797,0.00036823516711592674,0.044665899127721786,0.9956632256507874,0.7034379839897156
19,0.9992945194244385,0.0002557762200012803,0.03698112070560455,0.9967940449714661,0.7030310034751892
20,0.9995099902153015,0.00017601018771529198,0.030837487429380417,0.9976027011871338,0.6999354362487793
21,0.9996539354324341,0.00013253446377348155,0.025865206494927406,0.9982160329818726,0.696093738079071
22,0.9997555613517761,0.00010566357377683744,0.02165200188755989,0.9986324310302734,0.6936705708503723
23,0.9998295307159424,7.940831710584462e-05,0.018044689670205116,0.9989436268806458,0.6915252208709717
24,0.9998748898506165,7.620335964020342e-05,0.015329364687204361,0.9991487860679626,0.6881576776504517
25,0.9999060034751892,7.182276749517769e-05,0.013138163834810257,0.999326229095459,0.6912958025932312
26,0.9999289512634277,6.275072519201785e-05,0.011302287690341473,0.9994421601295471,0.6913012862205505
27,0.9999436736106873,6.818945257691666e-05,0.00980334635823965,0.9995582103729248,0.69012451171875
28,0.9999542832374573,7.072650623740628e-05,0.008567772805690765,0.999630868434906,0.6956182718276978
29,0.9999632239341736,6.811967614339665e-05,0.007483180146664381,0.9997116327285767,0.6962282657623291
30,0.9999703764915466,6.484786717919633e-05,0.006523549556732178,0.9997518658638,0.692890465259552
31,0.9999755024909973,6.483541801571846e-05,0.005757406819611788,0.9998064637184143,0.6994724273681641
