group,examples,depth,adjacent_cosine_mean,normalized_step_mean,cosine_to_final_mean
low-depth-solved,7,0,0.16345827281475067,1.815040946006775,0.3183843791484833
low-depth-solved,7,1,0.5650632977485657,0.93232661485672,0.41220250725746155
low-depth-solved,7,2,0.6845754981040955,0.7937959432601929,0.5172978043556213
low-depth-solved,7,3,0.7622676491737366,0.6887591481208801,0.6097432374954224
low-depth-solved,7,4,0.8326870203018188,0.5772590637207031,0.6957241296768188
low-depth-solved,7,5,0.8996871709823608,0.4474983811378479,0.7675665616989136
low-depth-solved,7,6,0.9370265007019043,0.35463815927505493,0.822013795375824
low-depth-solved,7,7,0.9581602811813354,0.2888457477092743,0.8616904020309448
low-depth-solved,7,8,0.967941164970398,0.2523205578327179,0.8917588591575623
low-depth-solved,7,9,0.9768261909484863,0.2148617058992386,0.9160701036453247
low-depth-solved,7,10,0.9829028844833374,0.1844053566455841,0.937101423740387
low-depth-solved,7,11,0.9874571561813354,0.15752799808979034,0.9543421864509583
low-depth-solved,7,12,0.9911961555480957,0.1315651386976242,0.9678398370742798
low-depth-solved,7,13,0.9939460158348083,0.10891277343034744,0.9775634407997131
low-depth-solved,7,14,0.9956583380699158,0.09188032895326614,0.9845482707023621
low-depth-solved,7,15,0.9968317151069641,0.07813579589128494,0.9893783926963806
low-depth-solved,7,16,0.9978364109992981,0.06464194506406784,0.992586612701416
low-depth-solved,7,17,0.9985671639442444,0.05271841213107109,0.9946741461753845
low-depth-solved,7,18,0.9990483522415161,0.04293088987469673,0.9960792660713196
low-depth-solved,7,19,0.9993367195129395,0.03585129231214523,0.9970939755439758
low-depth-solved,7,20,0.9995301365852356,0.030174508690834045,0.9978747367858887
low-depth-solved,7,21,0.9996684789657593,0.025224534794688225,0.9984627962112427
low-depth-solved,7,22,0.9997668862342834,0.021082738414406776,0.9988635182380676
low-depth-solved,7,23,0.9998387098312378,0.01752396859228611,0.9991347193717957
low-depth-solved,7,24,0.9998806118965149,0.015062673017382622,0.9993329048156738
low-depth-solved,7,25,0.9999055862426758,0.013326357118785381,0.999477207660675
low-depth-solved,7,26,0.9999264478683472,0.011714459396898746,0.9995795488357544
low-depth-solved,7,27,0.9999450445175171,0.01006764080375433,0.9996582269668579
low-depth-solved,7,28,0.9999583959579468,0.008691636845469475,0.9997183680534363
low-depth-solved,7,29,0.9999696612358093,0.007376671768724918,0.9997616410255432
low-depth-solved,7,30,0.9999783635139465,0.006238564383238554,0.9997938871383667
low-depth-solved,7,31,0.9999842047691345,0.005372002255171537,0.9998230338096619
low-depth-solved,7,32,0.999987781047821,0.004763655364513397,0.9998511075973511
low-depth-solved,7,33,0.9999905824661255,0.004214507527649403,0.9998769760131836
low-depth-solved,7,34,0.9999926686286926,0.003710370045155287,0.999898374080658
low-depth-solved,7,35,0.9999945759773254,0.003193976590409875,0.9999154210090637
low-depth-solved,7,36,0.9999962449073792,0.0026877622585743666,0.9999279975891113
low-depth-solved,7,37,0.9999972581863403,0.0023006710689514875,0.9999383687973022
low-depth-solved,7,38,0.9999977946281433,0.002059988444671035,0.9999464750289917
low-depth-solved,7,39,0.9999980926513672,0.0018583029741421342,0.9999537467956543
low-depth-solved,7,40,0.9999986290931702,0.0016424974892288446,0.9999595284461975
low-depth-solved,7,41,0.9999988675117493,0.0014651609817519784,0.9999653697013855
low-depth-solved,7,42,0.9999991059303284,0.0013302130391821265,0.999970018863678
low-depth-solved,7,43,0.9999992251396179,0.0012103518238291144,0.9999746084213257
low-depth-solved,7,44,0.9999994039535522,0.0010999394580721855,0.9999779462814331
low-depth-solved,7,45,0.9999994039535522,0.0010018863249570131,0.9999812245368958
low-depth-solved,7,46,0.999999463558197,0.0009410041384398937,0.9999838471412659
low-depth-solved,7,47,0.9999995827674866,0.000865361129399389,0.9999865889549255
low-depth-solved,7,48,0.9999995827674866,0.0008222116739489138,0.9999886155128479
low-depth-solved,7,49,0.9999995827674866,0.0007707799668423831,0.9999908804893494
low-depth-solved,7,50,0.9999996423721313,0.000722931232303381,0.9999924302101135
low-depth-solved,7,51,0.9999996423721313,0.00069425132824108,0.999994158744812
low-depth-solved,7,52,0.9999996423721313,0.0006631520809605718,0.999995231628418
low-depth-solved,7,53,0.9999997019767761,0.0006387038738466799,0.999996542930603
low-depth-solved,7,54,0.9999997019767761,0.0006126865046098828,0.9999972581863403
low-depth-solved,7,55,0.9999997019767761,0.0005907739396207035,0.9999980926513672
low-depth-solved,7,56,0.9999997019767761,0.0005730706616304815,0.9999984502792358
low-depth-solved,7,57,0.9999997019767761,0.0005469231982715428,0.9999991655349731
low-depth-solved,7,58,0.9999997019767761,0.0005263315979391336,0.9999992251396179
low-depth-solved,7,59,0.9999997019767761,0.0005082284915260971,0.9999996423721313
low-depth-solved,7,60,0.9999997019767761,0.0004942010273225605,0.9999995827674866
low-depth-solved,7,61,0.9999997019767761,0.00048104123561643064,0.9999999403953552
low-depth-solved,7,62,0.9999997019767761,0.00046836098772473633,0.9999997019767761
low-depth-solved,7,63,0.9999997019767761,0.00045593478716909885,1.0
high-depth-solved,19,0,0.16252824664115906,1.8138152360916138,0.3135984241962433
high-depth-solved,19,1,0.5823009014129639,0.9135055541992188,0.40957751870155334
high-depth-solved,19,2,0.685583770275116,0.792418897151947,0.5167520642280579
high-depth-solved,19,3,0.7691647410392761,0.6788046956062317,0.5933947563171387
high-depth-solved,19,4,0.8406442999839783,0.5634274482727051,0.6756137013435364
high-depth-solved,19,5,0.9033694267272949,0.43872904777526855,0.7473809123039246
high-depth-solved,19,6,0.9368594288825989,0.35486918687820435,0.8062017560005188
high-depth-solved,19,7,0.9581702351570129,0.28874471783638,0.8478806018829346
high-depth-solved,19,8,0.968670666217804,0.24914492666721344,0.8787241578102112
high-depth-solved,19,9,0.9765271544456482,0.21579097211360931,0.9022683501243591
high-depth-solved,19,10,0.9827264547348022,0.18497517704963684,0.9232160449028015
high-depth-solved,19,11,0.9871061444282532,0.15976300835609436,0.9427651762962341
high-depth-solved,19,12,0.9908369183540344,0.1347469538450241,0.9590649008750916
high-depth-solved,19,13,0.9935816526412964,0.1128762885928154,0.971474289894104
high-depth-solved,19,14,0.9954146146774292,0.09539332240819931,0.9805213809013367
high-depth-solved,19,15,0.9967105984687805,0.08065807819366455,0.9868080019950867
high-depth-solved,19,16,0.9976986050605774,0.06737213581800461,0.9909738302230835
high-depth-solved,19,17,0.9984791278839111,0.0547686368227005,0.9935974478721619
high-depth-solved,19,18,0.9989961385726929,0.044509537518024445,0.9952806234359741
high-depth-solved,19,19,0.9993243217468262,0.03650437667965889,0.9964339733123779
high-depth-solved,19,20,0.9995332956314087,0.030305156484246254,0.9972655773162842
high-depth-solved,19,21,0.9996746182441711,0.025263473391532898,0.997866153717041
high-depth-solved,19,22,0.9997724294662476,0.021072467789053917,0.9982845187187195
high-depth-solved,19,23,0.9998443126678467,0.017409855499863625,0.998587429523468
high-depth-solved,19,24,0.9998896718025208,0.014573928900063038,0.998837411403656
high-depth-solved,19,25,0.9999184608459473,0.012401464395225048,0.999049723148346
high-depth-solved,19,26,0.9999380707740784,0.010666417889297009,0.9992291331291199
high-depth-solved,19,27,0.9999524354934692,0.009204882197082043,0.9993842244148254
high-depth-solved,19,28,0.9999618530273438,0.008088480681180954,0.9995176196098328
high-depth-solved,19,29,0.999969482421875,0.007121214643120766,0.999627947807312
high-depth-solved,19,30,0.9999769926071167,0.006156532559543848,0.9997138977050781
high-depth-solved,19,31,0.9999831318855286,0.005312714725732803,0.9997787475585938
high-depth-solved,19,32,0.9999871253967285,0.004673306830227375,0.9998274445533752
high-depth-solved,19,33,0.9999900460243225,0.004117003176361322,0.999863862991333
high-depth-solved,19,34,0.9999924898147583,0.0035732858814299107,0.9998914003372192
high-depth-solved,19,35,0.9999943971633911,0.0030732774175703526,0.9999131560325623
high-depth-solved,19,36,0.9999954700469971,0.0026800998020917177,0.9999304413795471
high-depth-solved,19,37,0.9999964833259583,0.002362092025578022,0.9999440908432007
high-depth-solved,19,38,0.9999973177909851,0.0020656802225857973,0.9999547004699707
high-depth-solved,19,39,0.9999979138374329,0.0018145516514778137,0.9999631643295288
high-depth-solved,19,40,0.9999983906745911,0.0015904651954770088,0.9999700784683228
high-depth-solved,19,41,0.9999988079071045,0.0013936576433479786,0.9999755024909973
high-depth-solved,19,42,0.9999992251396179,0.00121146475430578,0.9999797940254211
high-depth-solved,19,43,0.9999994039535522,0.0010522438678890467,0.9999833106994629
high-depth-solved,19,44,0.9999995231628418,0.0009284992120228708,0.9999861717224121
high-depth-solved,19,45,0.9999995827674866,0.0008276525768451393,0.9999887347221375
high-depth-solved,19,46,0.9999997019767761,0.0007345493067987263,0.9999908804893494
high-depth-solved,19,47,0.9999998211860657,0.0006502597243525088,0.9999923706054688
high-depth-solved,19,48,0.9999998211860657,0.0005753302830271423,0.9999938607215881
high-depth-solved,19,49,0.9999998807907104,0.0005104957381263375,0.9999948740005493
high-depth-solved,19,50,0.9999998807907104,0.0004536538908723742,0.9999960064888
high-depth-solved,19,51,0.9999998807907104,0.0004049388808198273,0.9999966621398926
high-depth-solved,19,52,0.9999998807907104,0.00036342040402814746,0.9999973773956299
high-depth-solved,19,53,1.0,0.000332135270582512,0.9999979138374329
high-depth-solved,19,54,1.0,0.00030424082069657743,0.9999985098838806
high-depth-solved,19,55,1.0,0.0002771880244836211,0.9999988675117493
high-depth-solved,19,56,1.0,0.0002507425379008055,0.9999992251396179
high-depth-solved,19,57,1.0,0.0002289881813339889,0.9999994039535522
high-depth-solved,19,58,1.0,0.00021059607388451695,0.9999995827674866
high-depth-solved,19,59,1.0,0.0001942715753102675,0.9999998211860657
high-depth-solved,19,60,1.0,0.00017952338384930044,0.9999998807907104
high-depth-solved,19,61,1.0,0.00016553443856537342,1.0
high-depth-solved,19,62,1.0,0.00015260690997820348,1.0
high-depth-solved,19,63,1.0,0.0001408656098647043,1.0
unsolved,24,0,0.1668567657470703,1.8125568628311157,0.3157069683074951
unsolved,24,1,0.5797103643417358,0.9163327217102051,0.4128364324569702
unsolved,24,2,0.6874637007713318,0.7899585366249084,0.5258564352989197
unsolved,24,3,0.7699856758117676,0.6772738099098206,0.6086544990539551
unsolved,24,4,0.8375999331474304,0.568393349647522,0.6993047595024109
unsolved,24,5,0.9019861221313477,0.44173017144203186,0.7695266604423523
unsolved,24,6,0.936284065246582,0.35619649291038513,0.8259274959564209
unsolved,24,7,0.957775890827179,0.2897827625274658,0.8642079830169678
unsolved,24,8,0.9693520069122314,0.24706129729747772,0.8917662501335144
unsolved,24,9,0.9778168201446533,0.2102653533220291,0.9140267372131348
unsolved,24,10,0.9834739565849304,0.18133477866649628,0.9339229464530945
unsolved,24,11,0.9875131249427795,0.1575828194618225,0.9513480067253113
unsolved,24,12,0.9910914897918701,0.13307534158229828,0.9652071595191956
unsolved,24,13,0.9937472343444824,0.11131909489631653,0.9756118655204773
unsolved,24,14,0.9953484535217285,0.09576058387756348,0.9832728505134583
unsolved,24,15,0.9965836405754089,0.08175931125879288,0.9885614514350891
unsolved,24,16,0.9976453185081482,0.06760724633932114,0.9919967651367188
unsolved,24,17,0.9984316825866699,0.05497204139828682,0.9942999482154846
unsolved,24,18,0.9989301562309265,0.04529573395848274,0.995844841003418
unsolved,24,19,0.9992585182189941,0.03768808767199516,0.9969918131828308
unsolved,24,20,0.9994855523109436,0.03145228326320648,0.9977901577949524
unsolved,24,21,0.9996331334114075,0.026528434827923775,0.9984207153320312
unsolved,24,22,0.9997391104698181,0.022276833653450012,0.9988407492637634
unsolved,24,23,0.9998152256011963,0.018699143081903458,0.999169647693634
unsolved,24,24,0.9998614192008972,0.016005203127861023,0.9993416666984558
unsolved,24,25,0.999896228313446,0.013666492886841297,0.9995012283325195
unsolved,24,26,0.9999224543571472,0.011685464531183243,0.9995706081390381
unsolved,24,27,0.9999363422393799,0.010200043208897114,0.9996668696403503
unsolved,24,28,0.9999471306800842,0.008911085315048695,0.9996950030326843
unsolved,24,29,0.9999563097953796,0.00780080258846283,0.9997633099555969
unsolved,24,30,0.9999629855155945,0.006897225975990295,0.9997696280479431
unsolved,24,31,0.9999668598175049,0.006221864838153124,0.9998237490653992
unsolved,24,32,0.9999687075614929,0.0056931935250759125,0.999821662902832
unsolved,24,33,0.9999707341194153,0.005225407425314188,0.9998728632926941
unsolved,24,34,0.9999722838401794,0.004781435709446669,0.9998650550842285
unsolved,24,35,0.9999725818634033,0.004387281369417906,0.9999105334281921
unsolved,24,36,0.9999739527702332,0.004015291575342417,0.9998963475227356
unsolved,24,37,0.9999741911888123,0.0037060417234897614,0.9999361634254456
unsolved,24,38,0.999974250793457,0.003434113459661603,0.999916136264801
unsolved,24,39,0.9999744296073914,0.00320389773696661,0.9999532103538513
unsolved,24,40,0.9999744892120361,0.0030135095585137606,0.9999299049377441
unsolved,24,41,0.9999740719795227,0.002858460647985339,0.9999650120735168
unsolved,24,42,0.9999735355377197,0.0027261681389063597,0.9999387264251709
unsolved,24,43,0.9999733567237854,0.0025980742648243904,0.9999728202819824
unsolved,24,44,0.9999731183052063,0.0024807865265756845,0.9999446868896484
unsolved,24,45,0.9999721646308899,0.002401815028861165,0.9999783635139465
unsolved,24,46,0.9999720454216003,0.002313819481059909,0.9999491572380066
unsolved,24,47,0.9999716877937317,0.0022460746113210917,0.9999825954437256
unsolved,24,48,0.9999708533287048,0.0022007403895258904,0.9999521374702454
unsolved,24,49,0.9999704360961914,0.002154890215024352,0.9999863505363464
unsolved,24,50,0.9999701380729675,0.0021237630862742662,0.9999553561210632
unsolved,24,51,0.999969482421875,0.002106016268953681,0.9999896883964539
unsolved,24,52,0.9999690055847168,0.0020878848154097795,0.999957799911499
unsolved,24,53,0.9999685883522034,0.0020696355495601892,0.9999925494194031
unsolved,24,54,0.9999682307243347,0.0020595670212060213,0.9999599456787109
unsolved,24,55,0.9999675750732422,0.002054430078715086,0.9999949336051941
unsolved,24,56,0.9999671578407288,0.002042375272139907,0.9999616742134094
unsolved,24,57,0.9999668002128601,0.0020278228912502527,0.9999968409538269
unsolved,24,58,0.9999663233757019,0.0020137557294219732,0.9999629855155945
unsolved,24,59,0.9999659061431885,0.0020031279418617487,0.9999985098838806
unsolved,24,60,0.999965488910675,0.0019936899188905954,0.9999640583992004
unsolved,24,61,0.9999651908874512,0.001987766707316041,0.9999997019767761
unsolved,24,62,0.999964714050293,0.0019812730606645346,0.9999644160270691
unsolved,24,63,0.9999644160270691,0.001973597565665841,1.0
